,src,dest,overlap,distance,total_border,greatest_border,nb_border
0,93,7,0,0.0,133.56884217549407,133.56884217549407,1
1,93,36,0,0.0,104.8209998050358,104.8209998050358,1
2,93,111,0,0.0,313.0327250722105,313.0327250722105,1
3,93,167,0,0.0,539.3708267965923,539.3708267965923,1
4,93,169,0,0.0,165.53809984237262,165.53809984237262,1
5,93,182,0,0.0,419.93599088262545,419.93599088262545,1
6,93,662,0,0.0,1655.726994436433,1655.726994436433,1
0,94,8,0,0.0,2028.1987133277416,1354.8505946007288,2
1,94,136,0,0.0,1369.6210983924782,1369.6210983924782,1
2,94,137,0,0.0,2112.0007736986545,2112.0007736986545,1
3,94,680,0,0.0,425.98030835873806,425.98030835873806,1
0,95,662,0,0.0,4409.022657384194,4409.022657384194,1
0,96,45,0,0.0,2538.7531179247644,2538.7531179247644,1
1,96,183,0,0.0,143.6868650924047,143.6868650924047,1
2,96,662,0,0.0,4565.725551881153,4565.725551881153,1
3,96,679,0,0.0,1080.4543257921175,1080.4543257921175,1
0,97,662,0,0.0,2320.943896172211,2320.943896172211,1
0,98,47,0,0.0,952.0115719665811,952.0115719665811,1
1,98,662,0,0.0,3827.652475404849,3827.652475404849,1
0,99,63,0,0.0,1291.5153340346362,1291.5153340346362,1
1,99,661,0,0.0,3332.664328594052,3332.664328594052,1
0,100,61,0,0.0,2229.7680010331105,2229.7680010331105,1
1,100,662,0,0.0,1952.5692065924804,1038.9307375582025,2
2,100,682,0,0.0,343.71417285893193,343.71417285893193,1
0,101,61,0,0.0,899.138845202757,899.138845202757,1
1,101,662,0,0.0,1535.275111345112,1535.275111345112,1
0,102,63,0,0.0,793.0179973676167,687.4648022476979,2
1,102,123,0,0.0,497.3442640540222,497.3442640540222,1
2,102,661,0,0.0,1972.096418592607,1972.096418592607,1
0,103,129,0,0.0,895.9511904926451,895.9511904926451,1
1,103,153,0,0.0,402.75667535640264,402.75667535640264,1
2,103,661,0,0.0,5676.774934058683,5676.774934058683,1
0,104,662,0,0.0,2125.6154577261545,2125.6154577261545,1
0,105,662,0,0.0,2280.2321266963804,2280.2321266963804,1
0,106,662,0,0.0,5404.857172255246,5404.857172255246,1
0,107,661,0,0.0,2990.8739627386917,2990.8739627386917,1
0,108,163,0,0.0,1103.98749523924,1103.98749523924,1
1,108,204,0,0.0,667.1795203482103,667.1795203482103,1
2,108,661,0,0.0,1400.9640407744876,1400.9640407744876,1
3,108,691,0,0.0,911.5310718699991,911.5310718699991,1
