,OBJECTID1,OBJECTID2,Distance
0,465717.0,465934,0.0
1,465717.0,466763,0.0
2,465717.0,597182,0.0
0,465720.0,465934,0.0
1,465720.0,466763,0.0
2,465720.0,597182,0.0
0,465721.0,464680,0.0
1,465721.0,597227,0.0
0,465722.0,597183,0.0
0,465724.0,458367,0.0
1,465724.0,597183,0.0
2,465724.0,597383,0.0
0,465726.0,488144,0.0
1,465726.0,512710,0.0
2,465726.0,597227,0.0
0,465728.0,597183,0.0
1,465728.0,597197,0.0
0,465730.0,473824,0.0
1,465730.0,473836,0.0
2,465730.0,473839,0.0
3,465730.0,481885,0.0
4,465730.0,502358,0.0
5,465730.0,597182,0.0
0,465731.0,597183,0.0
0,465734.0,464702,0.0
1,465734.0,465992,0.0
2,465734.0,466370,0.0
3,465734.0,466371,0.0
4,465734.0,473762,0.0
5,465734.0,488123,0.0
6,465734.0,597183,0.0
7,465734.0,597197,0.0
0,465735.0,512716,0.0
1,465735.0,597182,0.0
0,465736.0,464727,0.0
1,465736.0,465934,0.0
2,465736.0,466369,0.0
3,465736.0,466372,0.0
4,465736.0,466768,0.0
5,465736.0,466771,0.0
6,465736.0,597182,0.0
0,465738.0,466774,0.0
1,465738.0,473839,0.0
2,465738.0,597182,0.0
3,465738.0,597301,0.0
0,465927.0,465648,0.0
1,465927.0,465650,0.0
2,465927.0,597183,0.0
0,465929.0,465682,0.0
1,465929.0,466357,0.0
2,465929.0,473668,0.0
3,465929.0,473698,0.0
4,465929.0,502143,0.0
5,465929.0,596779,0.0
6,465929.0,597183,0.0
7,465929.0,597365,0.0
0,465930.0,465680,0.0
1,465930.0,597183,0.0
2,465930.0,597383,0.0
0,465931.0,465715,0.0
1,465931.0,473727,0.0
2,465931.0,488092,0.0
0,465932.0,465709,0.0
1,465932.0,597183,0.0
0,465934.0,464727,0.0
1,465934.0,464747,0.0
2,465934.0,465696,0.0
3,465934.0,465717,0.0
4,465934.0,465720,0.0
5,465934.0,465736,0.0
6,465934.0,466763,0.0
7,465934.0,466770,0.0
8,465934.0,466771,0.0
9,465934.0,597182,0.0
10,465934.0,597188,0.0
11,465934.0,597383,0.0
0,465940.0,511597,0.0
1,465940.0,597183,0.0
2,465940.0,597383,0.0
0,465992.0,464678,0.0
1,465992.0,465697,0.0
2,465992.0,465715,0.0
3,465992.0,465734,0.0
4,465992.0,466750,0.0
5,465992.0,473699,0.0
6,465992.0,473711,0.0
7,465992.0,473762,0.0
8,465992.0,488077,0.0
9,465992.0,597183,0.0
0,465993.0,464736,0.0
1,465993.0,466772,0.0
2,465993.0,597227,0.0
0,466268.0,465703,0.0
1,466268.0,597183,0.0
2,466268.0,597227,0.0
0,466343.0,473669,0.0
1,466343.0,597183,0.0
0,466344.0,512674,0.0
1,466344.0,597183,0.0
0,466345.0,597183,0.0
0,466346.0,597183,0.0
0,466347.0,597183,0.0
0,466348.0,597182,0.0
0,466349.0,465682,0.0
1,466349.0,473668,0.0
0,466350.0,597182,0.0
0,466351.0,466738,0.0
1,466351.0,512681,0.0
2,466351.0,597383,0.0
0,466352.0,473669,0.0
1,466352.0,597183,0.0
0,466353.0,465682,0.0
1,466353.0,502195,0.0
2,466353.0,597183,0.0
0,466354.0,464474,0.0
1,466354.0,502155,0.0
2,466354.0,597182,0.0
