,src,dest,overlap,distance,total_border,greatest_border,nb_border
3,464747,597383,0,0.0,4144.594276579428,4144.594276579428,1
0,464759,473838,0,0.0,1302.1103550428077,1302.1103550428077,1
1,464759,488144,0,0.0,586.6265573378478,586.6265573378478,1
2,464759,502374,0,0.0,438.76099908362266,438.76099908362266,1
3,464759,502395,0,0.0,2962.0216308898284,2962.0216308898284,1
4,464759,597227,0,0.0,1776.3145397881242,1776.3145397881242,1
0,465648,465927,0,0.0,1156.3592489682953,1156.3592489682953,1
1,465648,597183,0,0.0,2236.0241597030827,1166.6488927341827,2
0,465650,465927,0,0.0,135.02093837593205,135.02093837593205,1
1,465650,597183,0,0.0,3012.1553279674063,3012.1553279674063,1
0,465657,597183,0,0.0,3632.5797403294573,3426.782377858638,2
0,465660,597183,0,0.0,3022.9917996427785,3022.9917996427785,1
0,465667,464494,0,0.0,528.0827682025102,528.0827682025102,1
1,465667,473652,0,0.0,466.45196950744366,466.45196950744366,1
2,465667,473669,0,0.0,2407.746181590811,2407.746181590811,1
3,465667,488044,0,0.0,1189.8395549342565,1189.8395549342565,1
4,465667,502113,0,0.0,390.41525288493466,390.41525288493466,1
5,465667,502195,0,0.0,142.54795719510636,142.54795719510636,1
6,465667,597183,0,0.0,431.1490980732774,431.1490980732774,1
0,465670,502155,0,0.0,723.3376414672957,723.3376414672957,1
1,465670,597182,0,0.0,1179.044881830639,1179.044881830639,1
0,465677,466741,0,0.0,599.8614192466221,599.8614192466221,1
1,465677,474518,0,0.0,868.1682372018137,868.1682372018137,1
2,465677,597182,0,0.0,1310.5536158648947,1310.5536158648947,1
3,465677,597247,0,0.0,542.5951249218163,542.5951249218163,1
0,465678,597183,0,0.0,2271.0998838503087,2271.0998838503087,1
0,465680,465930,0,0.0,2923.9618167624994,2923.9618167624994,1
1,465680,512674,0,0.0,1670.5159687494956,1670.5159687494956,1
2,465680,597183,0,0.0,2396.880077179937,1480.6810706689755,2
3,465680,597383,0,0.0,5368.410257967555,5368.410257967555,1
0,465681,466360,0,0.0,635.3666182362518,635.3666182362518,1
1,465681,466738,0,0.0,626.0088973952668,626.0088973952668,1
2,465681,597182,0,0.0,903.4052113727925,903.4052113727925,1
3,465681,597383,0,0.0,249.37218050973073,249.37218050973073,1
0,465682,465929,0,0.0,1794.2986903711776,1794.2986903711776,1
1,465682,466349,0,0.0,1294.701662669941,1294.701662669941,1
2,465682,466353,0,0.0,1327.572736462148,1327.572736462148,1
3,465682,466357,0,0.0,1905.3227960836284,1905.3227960836284,1
4,465682,473668,0,0.0,2547.7521135177385,2293.3669895259754,2
5,465682,502195,0,0.0,588.1929150091577,588.1929150091577,1
6,465682,597183,0,0.0,489.0656524310665,489.0656524310665,1
0,465683,464565,0,0.0,207.28833393171016,207.28833393171016,1
1,465683,466742,0,0.0,590.3476750748911,590.3476750748911,1
2,465683,473669,0,0.0,396.24915468535863,396.24915468535863,1
3,465683,488059,0,0.0,173.50699265398785,173.50699265398785,1
4,465683,597183,0,0.0,1463.8091188359062,1463.8091188359062,1
0,465686,464565,0,0.0,495.1100753196893,495.1100753196893,1
1,465686,466356,0,0.0,1141.442630594632,1141.442630594632,1
2,465686,466361,0,0.0,104.8209998050358,104.8209998050358,1
3,465686,502229,0,0.0,450.19823077932335,450.19823077932335,1
0,465687,464606,0,0.0,2395.797484934863,2395.797484934863,1
1,465687,493448,0,0.0,433.63563350169545,433.63563350169545,1
2,465687,597247,0,0.0,4871.371405271227,4424.547804474827,2
0,465690,466745,0,0.0,391.637736943411,391.637736943411,1
1,465690,473699,0,0.0,765.5857006843727,765.5857006843727,1
2,465690,473711,0,0.0,522.1911103400465,522.1911103400465,1
3,465690,488077,0,0.0,331.6275310455537,331.6275310455537,1
4,465690,597183,0,0.0,5189.874847189168,5189.874847189168,1
0,465694,464627,0,0.0,2474.9378349215312,2474.9378349215312,1
1,465694,466358,0,0.0,707.6280972210557,707.6280972210557,1
2,465694,502305,0,0.0,978.5407195705924,978.5407195705924,1
3,465694,597183,0,0.0,1309.2543100419155,1309.2543100419155,1
0,465696,465934,0,0.0,132.17227583765367,132.17227583765367,1
1,465696,481772,0,0.0,1549.738542421778,1549.738542421778,1
2,465696,511584,0,0.0,450.5273538472493,450.5273538472493,1
3,465696,512692,0,0.0,251.17966653704764,251.17966653704764,1
4,465696,597182,0,0.0,2728.5904102267896,2728.5904102267896,1
5,465696,597383,0,0.0,814.8466860394344,814.8466860394344,1
0,465697,465992,0,0.0,1768.5915849376702,1768.5915849376702,1
1,465697,597183,0,0.0,3166.09747965122,3166.09747965122,1
0,465698,473732,0,0.0,516.9145981311281,516.9145981311281,1
1,465698,488090,0,0.0,151.56234610687596,151.56234610687596,1
2,465698,493449,0,0.0,650.2151867127063,650.2151867127063,1
3,465698,502358,0,0.0,714.8395952883062,714.8395952883062,1
4,465698,597182,0,0.0,1059.576994802671,1059.576994802671,1
0,465700,466356,0,0.0,1222.943411537403,1222.943411537403,1
1,465700,473682,0,0.0,336.1594356246956,336.1594356246956,1
2,465700,488078,0,0.0,520.3082073165984,520.3082073165984,1
3,465700,502229,0,0.0,965.1725594612969,965.1725594612969,1
4,465700,597183,0,0.0,2817.866457798936,2817.866457798936,1
0,465703,464634,0,0.0,415.8238810552704,415.8238810552704,1
1,465703,466268,0,0.0,1280.857870198474,1280.857870198474,1
2,465703,473742,0,0.0,647.2272794799842,647.2272794799842,1
3,465703,502305,0,0.0,3860.6700729855884,3860.6700729855884,1
4,465703,597183,0,0.0,1082.557843206745,1082.557843206745,1
5,465703,597227,0,0.0,468.79016463986176,468.79016463986176,1
0,465706,466366,0,0.0,2538.7531179247644,2538.7531179247644,1
1,465706,481814,0,0.0,692.0020601107248,692.0020601107248,1
2,465706,502261,0,0.0,364.07846131302136,364.07846131302136,1
3,465706,502275,0,0.0,3135.735151134861,3135.735151134861,1
4,465706,597227,0,0.0,2007.8410923880476,2007.8410923880476,1
0,465709,465932,0,0.0,1102.6667571553437,1102.6667571553437,1
1,465709,466757,0,0.0,691.931948226594,691.931948226594,1
2,465709,473727,0,0.0,1563.956093320173,1563.956093320173,1
3,465709,488092,0,0.0,1730.3619906510062,1730.3619906510062,1
4,465709,597183,0,0.0,2983.639398327568,1883.5127599821167,2
0,465711,466368,0,0.0,952.0115719665811,952.0115719665811,1
1,465711,597183,0,0.0,3672.7636466384215,3672.7636466384215,1
0,465713,597182,0,0.0,1895.8467276712643,1895.8467276712643,1
0,465714,466758,0,0.0,995.949437396728,995.949437396728,1
1,465714,597227,0,0.0,4866.9173811612945,4866.9173811612945,1
0,465715,464678,0,0.0,1451.5316839585478,1451.5316839585478,1
1,465715,465931,0,0.0,929.5323344167234,929.5323344167234,1
2,465715,465992,0,0.0,3022.9239129155403,3022.9239129155403,1
3,465715,466757,0,0.0,380.42617897008535,380.42617897008535,1
4,465715,473711,0,0.0,1913.01208453512,1913.01208453512,1
5,465715,473727,0,0.0,2457.003940541345,2457.003940541345,1
6,465715,488059,0,0.0,528.297515709176,528.297515709176,1
7,465715,488092,0,0.0,360.6824930747437,360.6824930747437,1
8,465715,597183,0,0.0,7173.797518214871,3854.6501344272183,3
9,465715,597197,0,0.0,1420.1004744403222,1420.1004744403222,1
0,465716,511597,0,0.0,998.6886305097247,998.6886305097247,1
1,465716,597183,0,0.0,757.4513773659845,757.4513773659845,1
2,465716,597383,0,0.0,929.1133971707632,929.1133971707632,1
0,465717,465934,0,0.0,714.5593306460918,714.5593306460918,1
1,465717,466763,0,0.0,548.4140232544545,548.4140232544545,1
2,465717,597182,0,0.0,1043.912596197446,1043.912596197446,1
0,465720,465934,0,0.0,1589.9146300950847,1589.9146300950847,1
1,465720,466763,0,0.0,1485.1761596551528,1485.1761596551528,1
2,465720,597182,0,0.0,1214.9332518208876,1214.9332518208876,1
0,465721,464680,0,0.0,811.851774282131,811.851774282131,1
1,465721,597227,0,0.0,2491.117475928965,2491.117475928965,1
0,465722,597183,0,0.0,3852.194549981388,3852.194549981388,1
0,465724,458367,0,0.0,202.41357079944075,202.41357079944075,1
1,465724,597183,0,0.0,2879.0060593846993,2879.0060593846993,1
2,465724,597383,0,0.0,1378.9944304050807,1378.9944304050807,1
0,465726,488144,0,0.0,65.35495090842636,65.35495090842636,1
1,465726,512710,0,0.0,1045.1637010885452,1045.1637010885452,1
2,465726,597227,0,0.0,2921.1394859109105,2288.532464249515,2
0,465728,597183,0,0.0,2297.039971672322,2297.039971672322,1
1,465728,597197,0,0.0,1671.8589338906559,1671.8589338906559,1
0,465730,473824,0,0.0,580.1424614170991,580.1424614170991,1
1,465730,473836,0,0.0,1847.328473643333,1847.328473643333,1
2,465730,473839,0,0.0,1677.2625534763838,1677.2625534763838,1
3,465730,481885,0,0.0,1808.7910038140917,1808.7910038140917,1
4,465730,502358,0,0.0,2290.193423922291,2290.193423922291,1
5,465730,597182,0,0.0,3591.2895516265817,2785.865601594554,2
0,465731,597183,0,0.0,2456.4256710197683,2456.4256710197683,1
0,465734,464702,0,0.0,2956.775818342035,2956.775818342035,1
1,465734,465992,0,0.0,3444.4342830824785,3444.4342830824785,1
2,465734,466370,0,0.0,2229.7680010331096,2229.7680010331096,1
3,465734,466371,0,0.0,899.138845202757,899.138845202757,1
4,465734,473762,0,0.0,2011.4406969691038,2011.4406969691038,1
5,465734,488123,0,0.0,522.1884946292764,522.1884946292764,1
6,465734,597183,0,0.0,5130.793377503494,2807.324231486602,3
7,465734,597197,0,0.0,2427.031432289866,2427.031432289866,1
0,465735,512716,0,0.0,643.6685026140173,643.6685026140173,1
1,465735,597182,0,0.0,1617.514276389899,1617.514276389899,1
0,465736,464727,0,0.0,1436.3456508452641,1436.3456508452641,1
1,465736,465934,0,0.0,6267.481446525169,5193.615517896676,2
